id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
7858,au--e,au--e,𐌀𐌖--𐌄,,,,,0.000,clean,d3b4087e96ac,1
7868,micavatha--,micavaθa--,𐌌𐌉𐌂𐌀𐌅𐌀𐌈𐌀--,,ithe-sun-god-cathas,,,0.000,clean,cd3b5b34d251,1
7877,------icav------,------icav------,------𐌉𐌂𐌀𐌅------,,ithe-sun-god-cathas,,,0.000,clean,a157b1e13c64,1
7880,veives,veives,𐌅𐌄𐌉𐌅𐌄𐌔,veives,mr-veives,,,1.000,clean,aaaa369c5f25,1
CIE 2262,AƧV+AΘ:A:I:IO:A,AsV+AΘ:A:I:IO:A,,,,,,0.000,ocr_failed,64edcc691df0,1
CIE 2652,𐌉𐌍𐌃𐌖𐌍𐌉𐌐𐌖𐌓𐌍𐌉𐌅𐌄𐌓𐌉𐌍𐌄,VEL. PURNI | FERINE,,VEL. PURNI FERINE,,,,1.000,clean,1592b306a0d6,1
3034,a----usinaivelchainal,a----usinaivelχainal,𐌀----𐌖𐌔𐌉𐌍𐌀𐌉𐌅𐌄𐌋𐌙𐌀𐌉𐌍𐌀𐌋,,,,,0.000,clean,ab2296f8d83d,1
3160,rav(a)e,rav(a)e,𐌓𐌀𐌅(𐌀)𐌄,,of-mr-marcussilnius,,,0.000,clean,3028b695dc70,1
8010,lovfirtatio,lovfirtatio,𐌋𐌏𐌅𐌚𐌉𐌓𐌕𐌀𐌕𐌉𐌏,lovfirtatio,,,,1.000,clean,d7fef1279ed7,1
8045,--ercvi,--ercvi,--𐌄𐌓𐌂𐌅𐌉,,,,,0.000,clean,a5440a881d9b,1
8074,nirmia,nirmia,𐌍𐌉𐌓𐌌𐌉𐌀,nirmia,,,,1.000,clean,7862aae65931,1
8078,tetiatroa,tetiatroa,𐌕𐌄𐌕𐌉𐌀𐌕𐌓𐌏𐌀,tetiatroa,,,,1.000,clean,2aeab48fccae,1
8083,niiii,niiii,𐌍𐌉𐌉𐌉𐌉,niiii,,,,1.000,clean,c01f8d26c673,1
8086,iviii,iviii,𐌉𐌅𐌉𐌉𐌉,iviii,,,,1.000,clean,58b3a67eab95,1
8090,xxr,xxr,𐌗𐌗𐌓,xxr,,,,1.000,clean,9b3a094d06d5,1
8140,viiiiiii,viiiiiii,𐌅𐌉𐌉𐌉𐌉𐌉𐌉𐌉,viiiiiii,,,,1.000,clean,976072b7a39b,1
8148,liit,liit,𐌋𐌉𐌉𐌕,liit,,,,1.000,clean,97aca1c35939,1
8179,carefo,carefo,𐌂𐌀𐌓𐌄𐌚𐌏,carefo,,,,1.000,clean,7a1063f1d915,1
8192,vx----,vx----,𐌅𐌗----,,,,,0.000,clean,0a11050211a2,1
CIE 266,ƎIƎCHƎ JAIMOLA,eIeCHe JAIMOLA,,,,,,0.000,needs_review,7683a3aefe99,1
CIE 2663,AITHOAJIHMAQVA,AITHOAJIHMAQVA,,,,,,0.000,needs_review,06ad75741f6b,1
CIE 2664,QLIMIAIA:IAZIOA,QLIMIAIA:IAZIOA,,QLIMIAIA IAZIOA,,,,1.000,clean,d029529d5bcd,1
CIE 2665,AD RATUMNA CENQA,AD RATUMNA CENQA,,AD RATUMNA CENQA,,,,1.000,clean,2336d74c5048,1
CIE 2666,MINIVIA:AIZYAQ,MINIVIA:AIZYAQ,,MINIVIA AIZYAQ,,,,1.000,clean,edff5bfb4925,1
8221,arvtielia,arvtielia,𐌀𐌓𐌅𐌕𐌉𐌄𐌋𐌉𐌀,arvtielia,,,,1.000,clean,342a8a20283f,1
8228,------ic------------,------ic------------,------𐌉𐌂------------,,,,,0.000,clean,dae7f3a05637,2
8230,o------afc------,o------afc------,𐌏------𐌀𐌚𐌂------,,wetnursewasi,,,0.000,clean,c44581a5488c,1
8252,zaconiai,zaconiai,𐌆𐌀𐌂𐌏𐌍𐌉𐌀𐌉,zaconiai,,,,1.000,clean,fcbd9ee29997,1
8266,mosot--,mosot--,𐌌𐌏𐌔𐌏𐌕--,,,,,0.000,clean,5a024c268b97,1
8268,--------ocve,--------ocve,--------𐌏𐌂𐌅𐌄,,and-for-mr-voltioscreicios,,,0.000,clean,4082bfe30cb8,1
8269,------vps----,------vps----,------𐌅𐌐𐌔----,,for-mr-voltios,,,0.000,clean,cfe062be1bbe,1
8275,------oc------,------oc------,------𐌏𐌂------,,for-mrs-marcacreicia,,,0.000,clean,5f751e08c9cb,1
8276,------o----e,------o----e,------𐌏----𐌄,,for-ms-marcacreicia,,,0.000,clean,3ab80789f271,1
8283,--aii,--aii,--𐌀𐌉𐌉,,,,,0.000,clean,78214a4e70c8,1
8327,lx,lx,𐌋𐌗,lx,,,,1.000,clean,8f9a922c666c,2
8346,--ecv,--ecv,--𐌄𐌂𐌅,,,,,0.000,clean,48fd982f3230,1
8362,io,io,𐌉𐌏,io,for-mr-titosmarhios,,,1.000,clean,4021fadf187f,2
CIE 2667,AZAQO:RAUFIA:AHAO,AZAQO:RAUFIA:AHAO,,AZAQO RAUFIA AHAO,,,,1.000,clean,729aac1d3e25,1
CIE 2668,VOINAO MAZVAO ANIMA M,VOINAO MAZVAO ANIMA M,,VOINAO MAZVAO ANIMA M,,,,1.000,clean,b26cc52de435,1
CIE 2669,A.M.DIZ.Q.A. IATINEM,A.M.DIZ.Q.A. IATINEM,,A.M.DIZ.Q.A. IATINEM,,,,1.000,clean,9f0b11016a94,1
